Name,Price,Market Cap,Price in BTC,Volume in 24 Hours
Bitcoin,"$65,010.03",$1.2T,1.00000000,$38.1B
Ethereum,"$4,769.95",$38.1B,0.07337368,$23.3B
Binance,$632.91,$564.3B,0.00973565,$2.5B
Tether,$1.00,$23.3B,0.00001541,$152.2B
Solana,$233.88,$106.4B,0.00359771,$8.3B
Cardano,$2.09,$2.5B,0.00003215,$3.5B
XRP,$1.22,$74.9B,0.00001871,$5.1B
Polkadot,$47.14,$152.2B,0.00072517,$2.9B
Dogecoin,$0.264766,$70.9B,0.00000407,$2.9B
USD,$1,$8.3B,0.00001539,$3.4B
Shiba,$0.00005408,$67.0B,0,$5.2B
Terra,$49.85,$3.5B,0.00076688,$835.4M
Avalanche,$89.70,$57.4B,0.00138022,$637.3M
Litecoin,$276.58,$5.1B,0.00425449,$5.6B
Chainlink,$34.75,$49.5B,0.00053453,$2.8B
Wrapped,"$65,122",$2.9B,1.00203995,$323.3M
Algorand,$2.19,$35.0B,0.00003372,$1.2B
Uniswap,$25.54,$2.9B,0.00039285,$312.3M
Binance,$1,$34.6B,0.00001539,$6.1B
Bitcoin,$677.29,$3.4B,0.01041841,$1.2B
Polygon,$1.76,$29.7B,0.00002712,$845.0M
VeChain,$0.163830,$5.2B,0.00000252,$849.9M
Axie,$148.08,$23.6B,0.00227852,$372.3M
Stellar,$0.390618,$835.4M,0.00000601,$979.0M
Cosmos,$32.95,$19.7B,0.00050687,$811.7M
Crypto.com,$0.351533,$637.3M,0.00000541,$142.1M
Dai,$1,$19.1B,0.00001539,$499.7M
FTX,$59.59,$5.6B,0.00091670,$338.2M
TRON,$0.109826,$16.1B,0.00000169,$1.8B
Filecoin,$63.65,$2.8B,0.00097912,$951.0M
cETH,$95.77,$15.6B,0.00147362,$28.2M
Ethereum,$57.07,$323.3M,0.00087787,$1.2B
Theta,$7.35,$13.7B,0.00011299,$419.7M
Hedera,$0.466900,$1.2B,0.00000718,$361.3M
Lido,"$4,739.80",$13.3B,0.07293187,$17.9M
Fantom,$2.61,$312.3M,0.00004010,$757.8M
Near,$12.05,$12.9B,0.00018542,$926.5M
Elrond,$323.37,$6.1B,0.00497419,$253.0M
Internet,$48.06,$12.8B,0.00073934,$582.5M
The,$1.12,$1.2B,0.00001729,$268.7M
Tezos,$5.97,$12.1B,0.00009188,$267.9M
Helium,$49.72,$845.0M,0.00076505,$115.2M
EOS,$5.09,$10.9B,0.00007826,$1.2B
Monero,$264.72,$849.9M,0.00407208,$595.3M
PancakeSwap,$18.88,$9.7B,0.00029051,$196.9M
cDAI,$0.020729,$372.3M,0.00000032,$355.1
Flow,$13.30,$9.5B,0.00020452,$79.5M
Aave,$311.18,$979.0M,0.00478666,$575.1M
Decentraland,$3.01,$9.3B,0.00004625,$3.4B
Kadena,$25,$811.7M,0.00038468,$230.6M
Klaytn,$1.56,$8.9B,0.00002400,$23.2M
